SMILES,Density (g/cm^3),van der Waals volume (cm^3/g),FFV,SCScore
*O[Si](C)(C)[Si](C)(C)S(=O)(O)*,1.001 ,0.517 ,0.327 ,1.799 
*O[Si](C)(OS(=O)(C)C)*,1.011 ,0.515 ,0.323 ,1.552 
*O[Si](C)(C)O[Si](C)(C)SSS*,1.003 ,0.521 ,0.321 ,2.046 
*O[Si](C)(C)O[Si](C)(C)OP(=O)(C(=O)OC)OC(=O)*,1.001 ,0.524 ,0.318 ,2.558 
*O[Si](C)(C)O[Si](C)(C(=O)OC)COC(=O)*,1.002 ,0.524 ,0.317 ,2.111 
*O[Si](C)(C)O[Si](C)(C)P(=O)(C(=O)O)COC(=O)*,1.002 ,0.524 ,0.317 ,2.047 
*/C=C/C([2H])=C(O[Si](C)(C)C)[Si](Cl)(Cl)*,1.061 ,0.496 ,0.316 ,2.360 
*O[Si](C)([SH](C)(C)C)*,1.016 ,0.518 ,0.316 ,1.484 
*O[Si](C)(C)[SH](C)(C)*,1.016 ,0.518 ,0.316 ,1.769 
*O[Si](C)(C(=O)OC)NC(=O)*,1.007 ,0.523 ,0.316 ,1.849 
*OC(=O)O[Si](C)(OC)OC(=O)*,1.012 ,0.521 ,0.315 ,1.782 
*/C(/C)=C(\O[Si](C)(C)Cl)/*,0.994 ,0.531 ,0.314 ,1.596 
*C(=O)O[Si](C)(C)O[Si](C)(C)COC(=O)N(C)c1ccc(o1)*,1.002 ,0.527 ,0.313 ,3.227 
*O[Si](C)(C)[Si](C)(C)CS(=O)(O)*,0.990 ,0.535 ,0.312 ,2.067 
*Oc1c(C)cc(cc1CC(CC)CCCC)c1cc(C)c(cc1C)/C=C/c1ccc(c(Br)c1)*,1.052 ,0.504 ,0.311 ,3.975 
*O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)CO[Si](C)(C)O[Si](C)(O[Si](C)(C)S(=O)([2H])[2H])*,0.987 ,0.538 ,0.310 ,3.305 
*O[Si](C)(C(=O)NC(=O)N(C)C)*,0.999 ,0.531 ,0.310 ,2.216 
